# مدمج لاستيراد البرنامج: عمود لوط + بيع + سوم (فارغ) + حالة للمراجعة
لوط,بيع,سوم,حالة
1,30000,,تم البيع
2,5000,,تم البيع
3,15000,,تم البيع
4,85000,,تم البيع
5,15000,,تم البيع
6,150000,,تم البيع
7,10000,,تم البيع
8,25000,,تم البيع
9,,,لم يتم البيع
10,10000,,تم البيع
11,125000,,تم البيع
12,340000,,تم البيع
13,125000,,تم البيع
14,150000,,تم البيع
15,140000,,تم البيع
16,50000,,تم البيع
17,25000,,تم البيع
18,180000,,تم البيع
19,10000,,تم البيع
20,40000,,تم البيع
21,15000,,تم البيع
22,230000,,تم البيع
23,60000,,تم البيع
24,,,لم يتم البيع
25,30000,,تم البيع
26,10000,,تم البيع
27,155000,,لم يتم البيع
28,15000,,لم يتم البيع
29,85000,,تم البيع
30,25000,,لم يتم البيع
31,15000,,لم يتم البيع
32,35000,,لم يتم البيع
33,15000,,لم يتم البيع
34,65000,,تم البيع
35,5000,,لم يتم البيع
36,30000,,لم يتم البيع
37,25000,,لم يتم البيع
38,250000,,تم البيع
39,,,لم يتم البيع
40,80000,,تم البيع
41,5000,,لم يتم البيع
42,30000,,لم يتم البيع
43,270000,,تم البيع
44,30000,,لم يتم البيع
45,300000,,تم البيع
46,10000,,تم البيع
47,10000,,لم يتم البيع
67,190000,,تم البيع
48,55000,,لم يتم البيع
49,140000,,تم البيع
50,420000,,تم البيع
51,15000,,لم يتم البيع
52,25000,,تم البيع
53,20000,,لم يتم البيع
54,180000,,تم البيع
55,220000,,تم البيع
56,,,لم يتم البيع
57,55000,,تم البيع
58,25000,,تم البيع
59,5000,,تم البيع
60,65000,,تم البيع
61,430000,,تم البيع
62,35000,,لم يتم البيع
63,,,لم يتم البيع
64,20000,,لم يتم البيع
65,10000,,تم البيع
66,180000,,تم البيع
68,30000,,لم يتم البيع
69,30000,,لم يتم البيع
70,,,لم يتم البيع
71,,,لم يتم البيع
72,35000,,تم البيع
73,60000,,تم البيع
74,40000,,تم البيع
75,65000,,تم البيع
76,210000,,تم البيع
77,10000,,تم البيع
78,360000,,تم البيع
79,50000,,تم البيع
80,100000,,تم البيع
81,55000,,تم البيع
82,30000,,تم البيع
83,60000,,تم البيع
84,10000,,تم البيع
85,40000,,تم البيع
86,65000,,تم البيع
87,40000,,تم البيع
88,65000,,تم البيع
89,105000,,تم البيع
90,110000,,تم البيع
91,250000,,تم البيع
92,85000,,تم البيع
93,5000,,تم البيع
94,250000,,تم البيع
95,100000,,تم البيع
96,10000,,لم يتم البيع
97,90000,,تم البيع
98,25000,,لم يتم البيع
99,30000,,تم البيع
100,60000,,لم يتم البيع
101,195000,,تم البيع
102,10000,,تم البيع
103,35000,,تم البيع
104,5000,,تم البيع
105,160000,,تم البيع
106,210000,,تم البيع
107,75000,,تم البيع
108,10000,,تم البيع
109,120000,,تم البيع
110,100000,,تم البيع
111,35000,,تم البيع
112,35000,,تم البيع
113,160000,,تم البيع
114,,,لم يتم البيع
115,100000,,تم البيع
116,5000,,تم البيع
117,55000,,تم البيع
118,65000,,تم البيع
119,170000,,تم البيع
120,340000,,تم البيع
121,,,لم يتم البيع
122,40000,,لم يتم البيع
123,75000,,تم البيع
124,15000,,تم البيع
125,15000,,لم يتم البيع
126,60000,,لم يتم البيع
127,60000,,لم يتم البيع
128,85000,,تم البيع
129,45000,,تم البيع
130,140000,,تم البيع
131,155000,,تم البيع
132,100000,,تم البيع
133,85000,,تم البيع
134,200000,,تم البيع
135,90000,,تم البيع
136,20000,,لم يتم البيع
137,25000,,لم يتم البيع
138,10000,,لم يتم البيع
139,60000,,تم البيع
140,5000,,تم البيع
141,10000,,تم البيع
142,10000,,تم البيع
143,110000,,تم البيع
144,10000,,تم البيع
145,60000,,تم البيع
146,15000,,لم يتم البيع
147,,,لم يتم البيع
148,25000,,تم البيع
149,360000,,تم البيع
150,10000,,لم يتم البيع
151,35000,,لم يتم البيع
152,30000,,لم يتم البيع
153,170000,,تم البيع
154,70000,,لم يتم البيع
155,75000,,لم يتم البيع
156,15000,,تم البيع
157,45000,,تم البيع
158,10000,,تم البيع
159,140000,,تم البيع
160,25000,,لم يتم البيع
161,310000,,تم البيع
162,90000,,تم البيع
163,320000,,تم البيع
164,100000,,تم البيع
165,250000,,تم البيع
166,65000,,تم البيع
167,20000,,لم يتم البيع
168,,,لم يتم البيع
169,460000,,تم البيع
170,110000,,تم البيع
171,250000,,تم البيع
172,135000,,تم البيع
173,250000,,تم البيع
174,250000,,تم البيع
175,10000,,تم البيع
